agent,seed,episode,reward,ttr,max_compromised,ended_clean,wasted,restored,investigated,investigate_ratio
mlpppo,0,7,4673.2055037271275,5,3,1,0,23,709,0.5908333333333333
mlpppo,0,8,4767.797635747238,4,3,1,0,24,745,0.6208333333333333
mlpppo,0,9,4519.393754396255,7,3,1,0,32,678,0.565
mlpppo,0,10,4704.60094042108,12,2,1,0,22,743,0.6191666666666666
mlpppo,0,11,-7259.772806080143,79,4,0,1,41,621,0.5175
mlpppo,0,12,4697.393616439324,10,2,1,0,23,753,0.6275
mlpppo,0,13,4781.456250087774,5,2,0,0,19,764,0.6366666666666667
mlpppo,0,14,4278.796878819985,6,2,0,0,24,709,0.5908333333333333
mlpppo,0,15,4462.0527799669335,4,2,0,0,28,714,0.595
mlpppo,0,16,4382.436903778387,35,2,1,0,36,702,0.585
mlpppo,0,17,4520.767184588975,8,3,1,0,32,685,0.5708333333333333
mlpppo,0,18,4701.23030129389,5,2,1,0,22,727,0.6058333333333333
mlpppo,0,19,4423.580378168952,5,2,0,3,28,678,0.565
mlpppo,0,20,-776.4878193563453,14,4,0,0,35,649,0.5408333333333334
mlpppo,0,21,3115.0358521342873,5,3,1,2,25,690,0.575
mlpppo,0,22,4042.6957290585747,5,3,0,0,36,619,0.5158333333333334
mlpppo,0,23,4456.320421317754,5,2,1,1,32,652,0.5433333333333333
mlpppo,0,24,4024.7598260187597,4,4,1,0,32,713,0.5941666666666666
mlpppo,0,25,2463.655746971384,5,4,1,0,27,696,0.58
mlpppo,0,26,4617.91221779071,13,2,1,0,31,660,0.55
mlpppo,0,27,4456.894334959149,10,3,1,0,31,659,0.5491666666666667
mlpppo,0,28,4759.621304232692,5,2,1,1,19,667,0.5558333333333333
mlpppo,0,29,4698.60857024843,3,3,1,0,16,761,0.6341666666666667
mlpppo,0,30,2834.102004263703,5,4,0,0,30,729,0.6075
mlpppo,0,31,-4085.0422664301623,6,4,0,1,57,601,0.5008333333333334
mlpppo,0,32,2660.557802261541,4,4,1,1,46,635,0.5291666666666667
mlpppo,0,33,4735.83756479206,5,2,1,0,20,732,0.61
mlpppo,0,34,4762.434320601802,5,2,1,0,22,725,0.6041666666666666
mlpppo,0,35,4649.66433951085,5,2,1,0,22,691,0.5758333333333333
mlpppo,0,36,4701.74497271815,6,2,1,3,18,752,0.6266666666666667
mlpppo,0,37,-2746.1400062959283,5,4,1,0,54,569,0.4741666666666667
mlpppo,0,38,-7705.326672150773,15,4,0,0,61,560,0.4666666666666667
mlpppo,0,39,4857.181657572713,4,2,1,1,15,760,0.6333333333333333
mlpppo,0,40,4852.5686412036075,6,2,0,0,23,759,0.6325
mlpppo,0,41,4684.2592442839305,9,2,0,0,24,728,0.6066666666666667
mlpppo,0,42,3444.9399867540083,4,5,1,0,29,707,0.5891666666666666
mlpppo,0,43,4800.453885835017,6,2,1,0,19,733,0.6108333333333333
mlpppo,0,44,4958.052663029082,7,1,1,0,13,771,0.6425
mlpppo,0,45,4550.167919706344,5,3,1,0,26,719,0.5991666666666666
mlpppo,0,46,1255.6865173954666,13,5,1,0,39,635,0.5291666666666667
mlpppo,0,47,4911.62899454363,8,2,1,0,11,801,0.6675
mlpppo,0,48,-2502.491088257971,12,4,0,0,47,585,0.4875
mlpppo,0,49,4776.534320601801,4,2,1,0,21,684,0.57
mlpppo,0,50,-3255.760841865208,5,4,1,0,49,591,0.4925
mlpppo,1,1,4940.576331514536,4,1,1,0,18,659,0.5491666666666667
mlpppo,1,2,4962.752663029081,9,1,1,0,12,675,0.5625
mlpppo,1,3,4664.50156567436,8,3,0,1,31,581,0.4841666666666667
mlpppo,1,4,-15320.217237658268,10,5,0,0,55,570,0.475
mlpppo,1,5,-8130.6428173460445,5,5,0,0,59,539,0.44916666666666666
mlpppo,1,6,4587.891168242231,4,2,1,0,29,628,0.5233333333333333
mlpppo,1,7,4788.948361336322,13,3,1,0,21,637,0.5308333333333334
mlpppo,1,8,-18093.368570536713,17,5,0,0,59,553,0.4608333333333333
mlpppo,1,9,4836.2618909215325,5,2,1,0,17,645,0.5375
mlpppo,1,10,4195.346486550675,6,3,1,0,40,563,0.4691666666666667
mlpppo,1,11,4881.744972718144,3,2,1,0,19,652,0.5433333333333333
mlpppo,1,12,4672.835543407735,3,2,1,0,23,631,0.5258333333333334
mlpppo,1,13,4659.149124546537,8,2,0,0,26,602,0.5016666666666667
mlpppo,1,14,-8188.156587194479,9,5,0,1,52,553,0.4608333333333333
mlpppo,1,15,4748.043233718665,10,3,1,0,21,632,0.5266666666666666
mlpppo,1,16,4838.181657572712,5,2,1,1,13,670,0.5583333333333333
mlpppo,1,17,-5184.334661906467,3,4,0,1,35,593,0.49416666666666664
mlpppo,1,18,4663.248216908409,21,3,1,0,25,632,0.5266666666666666
mlpppo,1,19,-453.2707672380668,3,4,0,0,31,616,0.5133333333333333
mlpppo,1,20,5001.899999999999,4,1,1,0,11,691,0.5758333333333333
mlpppo,1,21,4825.306128522325,3,2,0,0,18,641,0.5341666666666667
mlpppo,1,22,4276.353884508444,5,3,0,1,21,649,0.5408333333333334
mlpppo,1,23,4720.100879937497,8,3,1,0,24,638,0.5316666666666666
mlpppo,1,24,4573.537608197211,8,3,1,0,23,638,0.5316666666666666
mlpppo,1,25,4776.93001890904,9,3,1,0,21,650,0.5416666666666666
mlpppo,1,26,4822.33784717691,4,3,1,0,21,632,0.5266666666666666
mlpppo,1,27,4766.1958967477485,4,2,1,0,22,640,0.5333333333333333
mlpppo,1,28,-1500.7940784443967,3,4,0,0,34,608,0.5066666666666667
mlpppo,1,29,4789.056770167077,5,3,1,0,15,657,0.5475
mlpppo,1,30,4765.097918132091,6,2,1,0,22,665,0.5541666666666667
mlpppo,1,31,4469.972493568708,11,3,1,0,25,626,0.5216666666666666
mlpppo,1,32,-8245.947732515628,7,5,0,0,41,596,0.49666666666666665
mlpppo,1,33,4621.513939711751,10,2,1,0,29,606,0.505
mlpppo,1,34,4956.17633151454,3,1,1,0,14,664,0.5533333333333333
mlpppo,1,35,4493.955083736107,14,3,1,0,24,618,0.515
mlpppo,1,36,4774.053969779345,11,2,1,0,23,625,0.5208333333333334
mlpppo,1,37,4773.561798047211,5,2,1,0,21,604,0.5033333333333333
mlpppo,1,38,4917.345315586584,3,1,1,0,20,630,0.525
mlpppo,1,39,4983.7999999999965,4,1,1,0,12,652,0.5433333333333333
mlpppo,1,40,-14247.628984663128,3,5,0,0,46,592,0.49333333333333335
mlpppo,1,41,4411.080023393079,9,3,0,0,38,587,0.4891666666666667
mlpppo,1,42,4795.210652116343,6,2,0,0,24,591,0.4925
mlpppo,1,43,4829.592547841602,4,2,1,0,20,640,0.5333333333333333
mlpppo,1,44,-2165.8885511939206,9,5,0,0,40,604,0.5033333333333333
mlpppo,1,45,4772.851101240468,5,2,1,0,19,627,0.5225
mlpppo,1,46,4762.188344001544,6,2,1,0,29,598,0.49833333333333335
mlpppo,1,47,4812.398996117881,5,3,0,0,19,652,0.5433333333333333
mlpppo,1,48,4116.211504801416,4,3,0,0,24,631,0.5258333333333334
mlpppo,1,49,-22714.98955228338,200,6,0,0,65,536,0.44666666666666666
mlpppo,1,50,4781.192309689058,4,3,1,1,17,664,0.5533333333333333
mlpppo,2,1,4742.721304232688,5,2,0,1,20,589,0.49083333333333334
mlpppo,2,2,4952.099999999995,5,1,1,0,16,597,0.4975
mlpppo,2,3,4564.816791653075,5,3,1,1,22,557,0.46416666666666667
mlpppo,2,4,4699.146913651691,6,2,1,0,27,545,0.45416666666666666
mlpppo,2,5,4745.52267146654,5,2,0,0,20,587,0.4891666666666667
mlpppo,2,6,4815.316260559364,5,3,1,1,18,580,0.48333333333333334
mlpppo,2,7,4518.364759852628,3,2,1,1,26,578,0.4816666666666667
mlpppo,2,8,4743.124548422953,5,2,1,0,23,569,0.4741666666666667
mlpppo,2,9,4048.5802287726547,4,3,1,2,32,542,0.45166666666666666
mlpppo,2,10,4445.393472011411,3,2,0,3,31,506,0.4216666666666667
mlpppo,2,11,4607.311814438694,3,3,1,0,22,580,0.48333333333333334
mlpppo,2,12,-222.29564945352334,4,5,1,4,39,540,0.45
mlpppo,2,13,4420.192003555217,5,3,1,0,25,571,0.47583333333333333
mlpppo,2,14,3343.5036658473414,40,4,1,1,28,563,0.4691666666666667
mlpppo,2,15,2904.0713691124392,4,4,1,5,43,468,0.39
mlpppo,2,16,4644.81980338576,9,2,1,1,23,566,0.4716666666666667
mlpppo,2,17,3140.658300945302,5,4,1,2,42,485,0.4041666666666667
mlpppo,2,18,3677.769029751419,5,4,1,1,30,560,0.4666666666666667
mlpppo,2,19,4709.109135018127,4,3,1,0,25,583,0.48583333333333334
mlpppo,2,20,4836.568641203604,9,2,1,0,22,568,0.47333333333333333
mlpppo,2,21,4623.095896747757,10,3,1,1,23,583,0.48583333333333334
mlpppo,2,22,4129.239325558463,4,4,1,1,23,568,0.47333333333333333
mlpppo,2,23,4618.037460076174,10,2,1,0,27,541,0.4508333333333333
mlpppo,2,24,3617.0636401511215,3,3,1,0,40,508,0.42333333333333334
mlpppo,2,25,4898.979636188389,3,2,1,0,18,571,0.47583333333333333
mlpppo,2,26,4108.094725074493,3,3,1,3,35,541,0.4508333333333333
mlpppo,2,27,4537.987043368134,4,3,1,0,30,545,0.45416666666666666
mlpppo,2,28,4765.708852633283,8,2,1,0,21,575,0.4791666666666667
mlpppo,2,29,-1864.5172342830638,3,4,1,5,52,467,0.38916666666666666
